+-----+---------------------------------------------------------+--------------------------------------------+---------------+
| id  | title                                                   | artist                                     | genre         |
+-----+---------------------------------------------------------+--------------------------------------------+---------------+
|   1 | Blinding Lights                                         | The Weeknd                                 | Pop           |
|   2 | Shape of You                                            | Ed Sheeran                                 | Pop           |
|   3 | Starboy                                                 | The Weeknd & Daft Punk                     | Pop           |
|   4 | Sweater Weather                                         | The Neighbourhood                          | Rock          |
|   5 | Someone You Loved                                       | Lewis Capaldi                              | Pop           |
|   6 | As It Was                                               | Harry Styles                               | Pop           |
|   7 | Sunflower                                               | Post Malone & Swae Lee                     | Hip-hop       |
|   8 | One Dance                                               | Drake ft. Wizkid & Kyla                    | Hip-hop       |
|   9 | Perfect                                                 | Ed Sheeran                                 | Pop           |
|  10 | Stay                                                    | The Kid Laroi & Justin Bieber              | Pop           |
|  11 | Believer                                                | Imagine Dragons                            | Rock          |
|  12 | Heat Waves                                              | Glass Animals                              | Alternative   |
|  13 | Lovely                                                  | Billie Eilish & Khalid                     | Pop           |
|  14 | Closer                                                  | The Chainsmokers & Halsey                  | EDM           |
|  15 | The Night We Met                                        | Lord Huron                                 | Indie         |
|  16 | I Wanna Be Yours                                        | Arctic Monkeys                             | Rock          |
|  17 | Say You Won't Let Go                                    | James Arthur                               | Pop           |
|  18 | Yellow                                                  | Coldplay                                   | Rock          |
|  19 | Something Just Like This                                | The Chainsmokers & Coldplay                | EDM           |
|  20 | Riptide                                                 | Vance Joy                                  | Folk          |
|  21 | Another Love                                            | Tom Odell                                  | Pop           |
|  22 | Dance Monkey                                            | Tones and I                                | Pop           |
|  23 | Birds of a Feather                                      | Billie Eilish                              | Pop           |
|  24 | Rockstar                                                | Post Malone & 21 Savage                    | Hip-hop       |
|  25 | Take Me to Church                                       | Hozier                                     | Alternative   |
|  26 | Die With a Smile                                        | Lady Gaga & Bruno Mars                     | Pop           |
|  27 | Counting Stars                                          | OneRepublic                                | Pop           |
|  28 | Photograph                                              | Ed Sheeran                                 | Pop           |
|  29 | Señorita                                                | Shawn Mendes & Camila Cabello              | Pop           |
|  30 | Cruel Summer                                            | Taylor Swift                               | Pop           |
|  31 | Watermelon Sugar                                        | Harry Styles                               | Pop           |
|  32 | Can't Hold Us                                           | Macklemore & Ryan Lewis (feat. Ray Dalton) | Hip-hop       |
|  33 | Every Breath You Take                                   | The Police                                 | Rock          |
|  34 | Don't Start Now                                         | Dua Lipa                                   | Pop           |
